filename, language, TypeScript, Less, HTML, comment, blank, total
base-info\base-info.component.html, HTML, 0, 0, 56, 0, 1, 57
base-info\base-info.component.less, Less, 0, 12, 0, 0, 2, 14
base-info\base-info.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
base-info\base-info.component.ts, TypeScript, 92, 0, 0, 0, 18, 110
course-management.component.html, HTML, 0, 0, 52, 0, 1, 53
course-management.component.less, Less, 0, 57, 0, 0, 11, 68
course-management.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
course-management.component.ts, TypeScript, 36, 0, 0, 0, 6, 42
course-management.module.ts, TypeScript, 46, 0, 0, 0, 1, 47
cover-photo\cover-photo.component.html, HTML, 0, 0, 21, 0, 1, 22
cover-photo\cover-photo.component.less, Less, 0, 20, 0, 0, 5, 25
cover-photo\cover-photo.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
cover-photo\cover-photo.component.ts, TypeScript, 36, 0, 0, 1, 7, 44
detail-info\detail-info.component.html, HTML, 0, 0, 65, 0, 1, 66
detail-info\detail-info.component.less, Less, 0, 56, 0, 0, 13, 69
detail-info\detail-info.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
detail-info\detail-info.component.ts, TypeScript, 105, 0, 0, 1, 12, 118
file\file.component.html, HTML, 0, 0, 56, 0, 2, 58
file\file.component.less, Less, 0, 48, 0, 0, 15, 63
file\file.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
file\file.component.ts, TypeScript, 75, 0, 0, 0, 17, 92
paper-marking\paper-marking.component.html, HTML, 0, 0, 53, 0, 1, 54
paper-marking\paper-marking.component.less, Less, 0, 30, 0, 0, 2, 32
paper-marking\paper-marking.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
paper-marking\paper-marking.component.ts, TypeScript, 48, 0, 0, 0, 12, 60
paper-marking\test-result-table\test-result-table.component.html, HTML, 0, 0, 49, 0, 4, 53
paper-marking\test-result-table\test-result-table.component.less, Less, 0, 13, 0, 0, 1, 14
paper-marking\test-result-table\test-result-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
paper-marking\test-result-table\test-result-table.component.ts, TypeScript, 38, 0, 0, 0, 13, 51
plan-overview\plan-overview.component.html, HTML, 0, 0, 54, 0, 1, 55
plan-overview\plan-overview.component.less, Less, 0, 87, 0, 0, 15, 102
plan-overview\plan-overview.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
plan-overview\plan-overview.component.ts, TypeScript, 140, 0, 0, 0, 7, 147
plan-setting\plan-setting.component.html, HTML, 0, 0, 66, 14, 9, 89
plan-setting\plan-setting.component.less, Less, 0, 55, 0, 0, 11, 66
plan-setting\plan-setting.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
plan-setting\plan-setting.component.ts, TypeScript, 57, 0, 0, 0, 13, 70
plan-tasks\plan-tasks.component.html, HTML, 0, 0, 17, 0, 1, 18
plan-tasks\plan-tasks.component.less, Less, 0, 32, 0, 0, 6, 38
plan-tasks\plan-tasks.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
plan-tasks\plan-tasks.component.ts, TypeScript, 11, 0, 0, 0, 4, 15
question\question-create\completion\completion.component.html, HTML, 0, 0, 72, 0, 1, 73
question\question-create\completion\completion.component.less, Less, 0, 38, 0, 0, 11, 49
question\question-create\completion\completion.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\completion\completion.component.ts, TypeScript, 37, 0, 0, 4, 10, 51
question\question-create\essay\essay.component.html, HTML, 0, 0, 76, 0, 1, 77
question\question-create\essay\essay.component.less, Less, 0, 35, 0, 0, 10, 45
question\question-create\essay\essay.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\essay\essay.component.ts, TypeScript, 37, 0, 0, 4, 10, 51
question\question-create\indefinite-choice\indefinite-choice.component.html, HTML, 0, 0, 86, 0, 1, 87
question\question-create\indefinite-choice\indefinite-choice.component.less, Less, 0, 35, 0, 0, 10, 45
question\question-create\indefinite-choice\indefinite-choice.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\indefinite-choice\indefinite-choice.component.ts, TypeScript, 209, 0, 0, 6, 25, 240
question\question-create\judgement\judgement.component.html, HTML, 0, 0, 76, 0, 1, 77
question\question-create\judgement\judgement.component.less, Less, 0, 35, 0, 0, 10, 45
question\question-create\judgement\judgement.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\judgement\judgement.component.ts, TypeScript, 116, 0, 0, 4, 13, 133
question\question-create\material\material.component.html, HTML, 0, 0, 69, 0, 1, 70
question\question-create\material\material.component.less, Less, 0, 38, 0, 0, 11, 49
question\question-create\material\material.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\material\material.component.ts, TypeScript, 36, 0, 0, 4, 9, 49
question\question-create\multiple-choice\multiple-choice.component.html, HTML, 0, 0, 86, 0, 2, 88
question\question-create\multiple-choice\multiple-choice.component.less, Less, 0, 35, 0, 0, 10, 45
question\question-create\multiple-choice\multiple-choice.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\multiple-choice\multiple-choice.component.ts, TypeScript, 210, 0, 0, 6, 24, 240
question\question-create\question-create.component.html, HTML, 0, 0, 5, 0, 1, 6
question\question-create\question-create.component.less, Less, 0, 13, 0, 0, 3, 16
question\question-create\question-create.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\question-create.component.ts, TypeScript, 16, 0, 0, 0, 5, 21
question\question-create\single-choice\single-choice.component.html, HTML, 0, 0, 91, 0, 2, 93
question\question-create\single-choice\single-choice.component.less, Less, 0, 35, 0, 0, 10, 45
question\question-create\single-choice\single-choice.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question-create\single-choice\single-choice.component.ts, TypeScript, 206, 0, 0, 5, 20, 231
question\question.component.html, HTML, 0, 0, 88, 0, 1, 89
question\question.component.less, Less, 0, 44, 0, 0, 12, 56
question\question.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
question\question.component.ts, TypeScript, 98, 0, 0, 0, 25, 123
student-management\formal-student-table\formal-student-table.component.html, HTML, 0, 0, 69, 0, 4, 73
student-management\formal-student-table\formal-student-table.component.less, Less, 0, 22, 0, 0, 3, 25
student-management\formal-student-table\formal-student-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\formal-student-table\formal-student-table.component.ts, TypeScript, 130, 0, 0, 0, 20, 150
student-management\informal-student-table\informal-student-table.component.html, HTML, 0, 0, 38, 0, 2, 40
student-management\informal-student-table\informal-student-table.component.less, Less, 0, 22, 0, 0, 3, 25
student-management\informal-student-table\informal-student-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
student-management\informal-student-table\informal-student-table.component.ts, TypeScript, 26, 0, 0, 0, 11, 37
student-management\student-exit-record\student-exit-record.component.html, HTML, 0, 0, 40, 0, 2, 42
