Date : 2019-10-29 15:05:49
Directory : d:\vscode\angular\anti-drug-project\anti-drug-project\src\app\course-management
Total : 117 files,  5317 codes, 49 comments, 813 blanks, all 6179 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         59 |      2,715 |         35 |        539 |      3,289 |
| HTML       |         29 |      1,582 |         14 |         51 |      1,647 |
| Less       |         29 |      1,020 |          0 |        223 |      1,243 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        117 |      5,317 |         49 |        813 |      6,179 |
| question                                                                           |         36 |      2,102 |         33 |        293 |      2,428 |
| question\question-create                                                           |         32 |      1,852 |         33 |        249 |      2,134 |
| student-management                                                                 |         24 |        738 |          0 |        130 |        868 |
| test-paper                                                                         |          8 |        383 |          0 |         66 |        449 |
| question\question-create\single-choice                                             |          4 |        352 |          5 |         38 |        395 |
| question\question-create\multiple-choice                                           |          4 |        351 |          6 |         42 |        399 |
| question\question-create\indefinite-choice                                         |          4 |        350 |          6 |         42 |        398 |
| plan-overview                                                                      |          4 |        301 |          0 |         29 |        330 |
| paper-marking                                                                      |          8 |        271 |          0 |         45 |        316 |
| test-paper\test-paper-create                                                       |          4 |        270 |          0 |         44 |        314 |
| question\question-create\judgement                                                 |          4 |        247 |          4 |         30 |        281 |
| detail-info                                                                        |          4 |        246 |          1 |         32 |        279 |
| student-management\formal-student-table                                            |          4 |        241 |          0 |         33 |        274 |
| file                                                                               |          4 |        199 |          0 |         40 |        239 |
| plan-setting                                                                       |          4 |        198 |         14 |         39 |        251 |
| base-info                                                                          |          4 |        180 |          0 |         27 |        207 |
| question\question-create\essay                                                     |          4 |        168 |          4 |         27 |        199 |
| question\question-create\completion                                                |          4 |        167 |          4 |         28 |        199 |
| teaching-plan-management                                                           |          4 |        165 |          0 |         26 |        191 |
| question\question-create\material                                                  |          4 |        163 |          4 |         27 |        194 |
| teacher-management                                                                 |          4 |        146 |          0 |         25 |        171 |
| student-management\student-exit-record                                             |          4 |        138 |          0 |         23 |        161 |
| student-management\student-involve-record                                          |          4 |        138 |          0 |         23 |        161 |
| paper-marking\test-result-table                                                    |          4 |        120 |          0 |         24 |        144 |
| student-management\informal-student-table                                          |          4 |        106 |          0 |         22 |        128 |
| cover-photo                                                                        |          4 |         97 |          1 |         19 |        117 |
| plan-tasks                                                                         |          4 |         80 |          0 |         17 |         97 |
| student-management\student-management-tab                                          |          4 |         45 |          0 |         13 |         58 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
